width,radius,dy,timepoint,diodicity
0.07,0.09,0.3,50,0.0005509979804097549
0.07,0.09,0.3,100,0.9414684410637936
0.07,0.09,0.3,150,0.9717542932009251
0.07,0.09,0.3,200,0.9751478248889363
0.07,0.09,0.3,250,1.1361622947269752
0.07,0.09,0.3,300,1.2864068559260098
0.07,0.09,0.3,350,1.3083960067376104
0.07,0.09,0.3,400,1.5824753259818904
0.07,0.09,0.3,450,1.659603269296447
0.07,0.09,0.3,500,1.718338939680674
0.07,0.09,0.3,550,1.8009637380062005
0.07,0.09,0.3,600,1.8279604715813906
0.07,0.09,0.3,650,1.7150469279134808
0.07,0.09,0.3,700,1.1794520695451385
0.07,0.09,0.3,750,1.0596725508543359
0.07,0.09,0.3,800,0.8674582953868412
0.07,0.09,0.3,850,0.7256590646473179
0.07,0.09,0.3,900,0.7064921207896367
0.07,0.09,0.3,950,0.679241575678555
0.07,0.09,0.3,1000,0.7238436679806394
0.07,0.09,0.3,1050,0.8054609030721276
0.07,0.09,0.3,1100,0.9118258186974978
0.07,0.09,0.3,1150,1.0369950169382447
0.07,0.09,0.3,1200,1.1416993931663366
0.07,0.09,0.3,1250,1.2512240204695595
0.07,0.09,0.3,1300,1.3187086407009878
0.07,0.09,0.3,1350,1.3383705617243584
0.07,0.09,0.3,1400,1.3470369915222864
0.07,0.09,0.3,1450,1.3142651834890053
0.07,0.09,0.3,1500,1.2615463917986138
0.07,0.09,0.3,1550,1.1897359545034842
0.07,0.09,0.3,1600,1.11410763310163
0.07,0.09,0.3,1650,1.0544174014830325
0.07,0.09,0.3,1700,1.0070630543889474
0.07,0.09,0.3,1750,0.9798190474399877
0.07,0.09,0.3,1800,0.9737925892393149
0.07,0.09,0.3,1850,0.9877093947583307
0.07,0.09,0.3,1900,1.0129598634344164
0.07,0.09,0.3,1950,1.0403264796991103
0.07,0.09,0.3,2000,1.0691014323319894
0.07,0.09,0.3,2050,1.0949745734904526
0.07,0.09,0.3,2100,1.1171609035110068
0.07,0.09,0.3,2150,1.133230404543664
0.07,0.09,0.3,2200,1.144311895691172
0.07,0.09,0.3,2250,1.1498499901184753
0.07,0.09,0.3,2300,1.1476939082441275
0.07,0.09,0.3,2350,1.1391813437737075
0.07,0.09,0.3,2400,1.1276553957557671
0.07,0.09,0.3,2450,1.1151844614827753
0.07,0.09,0.3,2500,1.1039875790592903
0.07,0.09,0.3,2550,1.0948608080038023
0.07,0.09,0.3,2600,1.0892285160576374
0.07,0.09,0.3,2650,1.0869242580918637
0.07,0.09,0.3,2700,1.0866235014769872
0.07,0.09,0.3,2750,1.0878027525259282
0.07,0.09,0.3,2800,1.0898556340159837
0.07,0.09,0.3,2850,1.0923825800528815
0.07,0.09,0.3,2900,1.0948735358761408
0.07,0.09,0.3,2950,1.097165441040044
0.07,0.09,0.3,3000,1.0993891915086489
0.07,0.09,0.3,3050,1.1011013384566521
0.07,0.09,0.3,3100,1.1020617239149315
0.07,0.09,0.3,3150,1.1022846664796728
0.07,0.09,0.3,3200,1.1021537870972489
0.07,0.09,0.3,3250,1.1019593933989387
0.07,0.09,0.3,3300,1.1017560068431507
0.07,0.09,0.3,3350,1.1016416048782407
0.07,0.09,0.3,3400,1.1016079932011753
0.07,0.09,0.3,3450,1.1015123302214325
0.07,0.09,0.3,3500,1.101260201068759
0.07,0.09,0.3,3550,1.1008583602027056
0.07,0.09,0.3,3600,1.1004101440335787
0.07,0.09,0.3,3650,1.0999406046328875
0.07,0.09,0.3,3700,1.0994489793639954
0.07,0.09,0.3,3750,1.0989807674841174
0.07,0.09,0.3,3800,1.0985731133029237
0.07,0.09,0.3,3850,1.0982482211691467
0.07,0.09,0.3,3900,1.098023632972832
0.07,0.09,0.3,3950,1.097946794977457
0.07,0.09,0.3,4000,1.098059456318119
0.07,0.09,0.3,4050,1.0983416098238692
0.07,0.09,0.3,4100,1.0987463065314984
0.07,0.09,0.3,4150,1.0992159355102016
0.07,0.09,0.3,4200,1.0996875170596219
0.07,0.09,0.3,4250,1.1000983168115441
0.07,0.09,0.3,4300,1.1004044049379156
0.07,0.09,0.3,4350,1.1005929219338058
0.07,0.09,0.3,4400,1.1006611875723085
0.07,0.09,0.3,4450,1.1006088066308097
0.07,0.09,0.3,4500,1.1004468502613125
0.07,0.09,0.3,4550,1.1002049254533761
0.07,0.09,0.3,4600,1.0999234045303095
0.07,0.09,0.3,4650,1.0996411161644344
0.07,0.09,0.3,4700,1.0993946692250025
0.07,0.09,0.3,4750,1.0992126168270482
0.07,0.09,0.3,4800,1.0991082611084142
0.07,0.09,0.3,4850,1.0990795915197205
0.07,0.09,0.3,4900,1.0991155758519517
0.07,0.09,0.3,4950,1.0992024208386661
0.07,0.09,0.3,5000,1.0993236438669645
0.07,0.09,0.3,5050,1.0994606859833456
0.07,0.09,0.3,5100,1.0995964031977012
0.07,0.09,0.3,5150,1.0997161988611388
0.07,0.09,0.3,5200,1.0998081940213562
0.07,0.09,0.3,5250,1.0998643599344464
0.07,0.09,0.3,5300,1.0998827639156292
0.07,0.09,0.3,5350,1.0998678603064618
0.07,0.09,0.3,5400,1.0998279006858618
0.07,0.09,0.3,5450,1.0997727831183965
0.07,0.09,0.3,5500,1.0997123693428583
0.07,0.09,0.3,5550,1.0996549412526126
0.07,0.09,0.3,5600,1.099606123860334
0.07,0.09,0.3,5650,1.0995689771191717
0.07,0.09,0.3,5700,1.0995450618790428
0.07,0.09,0.3,5750,1.0995347159711946
0.07,0.09,0.3,5800,1.099536813011051
0.07,0.09,0.3,5850,1.0995488593873817
0.07,0.09,0.3,5900,1.0995675050790858
0.07,0.09,0.3,5950,1.0995891290487
0.07,0.09,0.3,6000,1.0996103385661933
0.07,0.09,0.3,6050,1.0996285621815272
0.07,0.09,0.3,6100,1.099642437805311
0.07,0.09,0.3,6150,1.0996516660090065
0.07,0.09,0.3,6200,1.0996565834423946
0.07,0.09,0.3,6250,1.099657822695646
0.07,0.09,0.3,6300,1.0996561524673862
0.07,0.09,0.3,6350,1.0996523624912449
0.07,0.09,0.3,6400,1.0996471955950615
0.07,0.09,0.3,6450,1.0996413838350543
0.07,0.09,0.3,6500,1.0996356445254143
0.07,0.09,0.3,6550,1.0996305681516958
0.07,0.09,0.3,6600,1.0996264958307733
0.07,0.09,0.3,6650,1.0996235061274293
