width,radius,dy,timepoint,diodicity
0.07,0.14,0.3,10,
0.07,0.14,0.3,20,
0.07,0.14,0.3,30,
0.07,0.14,0.3,40,inf
0.07,0.14,0.3,50,3526.0629746071972
0.07,0.14,0.3,60,864.85777582471
0.07,0.14,0.3,70,12.572332648913857
0.07,0.14,0.3,80,1.4923462170632589
0.07,0.14,0.3,90,1.0953021742133717
0.07,0.14,0.3,100,1.0846804040573177
0.07,0.14,0.3,110,1.0740701058677598
0.07,0.14,0.3,120,1.0631640110112686
0.07,0.14,0.3,130,1.054042214778832
0.07,0.14,0.3,140,1.0573884523402388
0.07,0.14,0.3,150,1.050120052063239
0.07,0.14,0.3,160,1.0491086861884933
0.07,0.14,0.3,170,1.0491737548599365
0.07,0.14,0.3,180,1.0449443876693372
0.07,0.14,0.3,190,1.0458337389407613
0.07,0.14,0.3,200,1.0400578633373376
0.07,0.14,0.3,210,1.045212503915067
0.07,0.14,0.3,220,1.0477668092378551
0.07,0.14,0.3,230,1.0485671836165193
0.07,0.14,0.3,240,1.0493761097458172
0.07,0.14,0.3,250,1.0486449483751739
0.07,0.14,0.3,260,1.0459022599717682
0.07,0.14,0.3,270,1.0424115415810844
0.07,0.14,0.3,280,1.0438930652449057
0.07,0.14,0.3,290,1.0484546481199828
0.07,0.14,0.3,300,1.0601209071868543
0.07,0.14,0.3,310,1.087967995279843
0.07,0.14,0.3,320,1.1302866548325479
0.07,0.14,0.3,330,1.1760584971372614
0.07,0.14,0.3,340,1.2156860084407943
0.07,0.14,0.3,350,1.2358017953445097
0.07,0.14,0.3,360,1.2350012800620258
0.07,0.14,0.3,370,1.2232728646475959
0.07,0.14,0.3,380,1.2150228497072026
0.07,0.14,0.3,390,1.1977507140274333
0.07,0.14,0.3,400,1.1504617371991412
0.07,0.14,0.3,410,1.0731915983133484
0.07,0.14,0.3,420,1.0067523279267685
0.07,0.14,0.3,430,0.9739031501221006
0.07,0.14,0.3,440,0.9596427324105864
0.07,0.14,0.3,450,0.9495394200976546
0.07,0.14,0.3,460,0.9466182495361675
0.07,0.14,0.3,470,0.9537955298991732
0.07,0.14,0.3,480,0.9670693942168611
0.07,0.14,0.3,490,0.9805293521481169
0.07,0.14,0.3,500,0.9888413752650471
0.07,0.14,0.3,510,0.9888146248672584
0.07,0.14,0.3,520,0.9792547711430305
0.07,0.14,0.3,530,0.9620481454544829
0.07,0.14,0.3,540,0.9401113145523249
0.07,0.14,0.3,550,0.9149487588100845
0.07,0.14,0.3,560,0.8845116604646638
0.07,0.14,0.3,570,0.8504432829662868
0.07,0.14,0.3,580,0.8218076945754678
0.07,0.14,0.3,590,0.8051372584274986
0.07,0.14,0.3,600,0.8010540643597547
0.07,0.14,0.3,610,0.8111882189756601
0.07,0.14,0.3,620,0.8330536974011564
0.07,0.14,0.3,630,0.857067406672005
0.07,0.14,0.3,640,0.8749123444459245
0.07,0.14,0.3,650,0.8861991504069191
0.07,0.14,0.3,660,0.8925063627229898
0.07,0.14,0.3,670,0.8929828790001546
0.07,0.14,0.3,680,0.8882504183612593
0.07,0.14,0.3,690,0.8836429918447696
0.07,0.14,0.3,700,0.8842512719389434
0.07,0.14,0.3,710,0.8906781246184987
0.07,0.14,0.3,720,0.899359849601637
0.07,0.14,0.3,730,0.9077180198928864
0.07,0.14,0.3,740,0.917414575158285
0.07,0.14,0.3,750,0.9305147714786385
0.07,0.14,0.3,760,0.9453828839750649
0.07,0.14,0.3,770,0.9595846596938823
0.07,0.14,0.3,780,0.9733378695010005
0.07,0.14,0.3,790,0.9889499421850964
0.07,0.14,0.3,800,1.007632848322723
0.07,0.14,0.3,810,1.027890913268521
0.07,0.14,0.3,820,1.046751479856645
0.07,0.14,0.3,830,1.061582536594823
0.07,0.14,0.3,840,1.0715921722342439
0.07,0.14,0.3,850,1.0782408575041502
0.07,0.14,0.3,860,1.0835504230717394
0.07,0.14,0.3,870,1.0876731551234655
0.07,0.14,0.3,880,1.0884261191026485
0.07,0.14,0.3,890,1.0833295808899743
0.07,0.14,0.3,900,1.0725679773157792
0.07,0.14,0.3,910,1.0593276165200682
0.07,0.14,0.3,920,1.0472625849483763
0.07,0.14,0.3,930,1.0382280889950357
0.07,0.14,0.3,940,1.0327104064942707
0.07,0.14,0.3,950,1.0307912549041833
0.07,0.14,0.3,960,1.0320321665441134
0.07,0.14,0.3,970,1.035192887719628
0.07,0.14,0.3,980,1.038943187863324
0.07,0.14,0.3,990,1.0426192974614181
0.07,0.14,0.3,1000,1.0462266419836954
0.07,0.14,0.3,1010,1.0497691683692796
0.07,0.14,0.3,1020,1.0526940368698947
0.07,0.14,0.3,1030,1.0538522695407593
0.07,0.14,0.3,1040,1.052251419896138
0.07,0.14,0.3,1050,1.0480453960364622
0.07,0.14,0.3,1060,1.0426139747980798
0.07,0.14,0.3,1070,1.0374604893253891
0.07,0.14,0.3,1080,1.0333067151736923
0.07,0.14,0.3,1090,1.0303214555016655
0.07,0.14,0.3,1100,1.028834968343694
0.07,0.14,0.3,1110,1.0295302356650506
0.07,0.14,0.3,1120,1.0330360278469477
0.07,0.14,0.3,1130,1.0393848507403445
0.07,0.14,0.3,1140,1.0478560647010111
0.07,0.14,0.3,1150,1.0573207045887951
0.07,0.14,0.3,1160,1.0666207592041137
0.07,0.14,0.3,1170,1.0746150425847112
0.07,0.14,0.3,1180,1.080207036207254
0.07,0.14,0.3,1190,1.082577079763385
0.07,0.14,0.3,1200,1.0813943171535496
0.07,0.14,0.3,1210,1.0769009874890925
0.07,0.14,0.3,1220,1.069899352559439
0.07,0.14,0.3,1230,1.061507408465855
0.07,0.14,0.3,1240,1.052842506355553
0.07,0.14,0.3,1250,1.0449437065095564
0.07,0.14,0.3,1260,1.0387279798408386
0.07,0.14,0.3,1270,1.0347081831450118
0.07,0.14,0.3,1280,1.0328335522812848
0.07,0.14,0.3,1290,1.0326714290448893
0.07,0.14,0.3,1300,1.0335114285779985
0.07,0.14,0.3,1310,1.0343134982295292
0.07,0.14,0.3,1320,1.0340520705970553
0.07,0.14,0.3,1330,1.0323688265623547
0.07,0.14,0.3,1340,1.029653406319536
0.07,0.14,0.3,1350,1.0264242392168292
0.07,0.14,0.3,1360,1.022925884414338
0.07,0.14,0.3,1370,1.0193418058292687
0.07,0.14,0.3,1380,1.0159984103415678
0.07,0.14,0.3,1390,1.0131779222528015
0.07,0.14,0.3,1400,1.0109546605579434
0.07,0.14,0.3,1410,1.0093306262446633
0.07,0.14,0.3,1420,1.008337173731367
0.07,0.14,0.3,1430,1.0079076121999335
0.07,0.14,0.3,1440,1.0078093639087204
0.07,0.14,0.3,1450,1.0077913127813949
0.07,0.14,0.3,1460,1.0076879257512217
0.07,0.14,0.3,1470,1.0073639215555599
0.07,0.14,0.3,1480,1.0067124226499953
0.07,0.14,0.3,1490,1.005755619129418
0.07,0.14,0.3,1500,1.004615502955952
0.07,0.14,0.3,1510,1.0033480683203
0.07,0.14,0.3,1520,1.0018980751197581
0.07,0.14,0.3,1530,1.000211012735256
0.07,0.14,0.3,1540,0.9982864171733029
0.07,0.14,0.3,1550,0.9961415716049242
0.07,0.14,0.3,1560,0.9938251704929221
0.07,0.14,0.3,1570,0.9914653464562814
0.07,0.14,0.3,1580,0.9892479469191412
0.07,0.14,0.3,1590,0.9873821227151388
0.07,0.14,0.3,1600,0.9861175925132317
0.07,0.14,0.3,1610,0.9857107127838141
0.07,0.14,0.3,1620,0.9862880619615875
0.07,0.14,0.3,1630,0.9877664960947068
0.07,0.14,0.3,1640,0.9899325238786524
0.07,0.14,0.3,1650,0.9925556225718587
0.07,0.14,0.3,1660,0.995415152006864
0.07,0.14,0.3,1670,0.9982998854766003
0.07,0.14,0.3,1680,1.001043239811765
0.07,0.14,0.3,1690,1.0035377923373061
0.07,0.14,0.3,1700,1.0057005074787937
0.07,0.14,0.3,1710,1.0074660899307677
0.07,0.14,0.3,1720,1.0088404774104418
0.07,0.14,0.3,1730,1.0099310179391834
0.07,0.14,0.3,1740,1.0109016038534868
0.07,0.14,0.3,1750,1.0119128993653193
0.07,0.14,0.3,1760,1.0131022095664592
0.07,0.14,0.3,1770,1.0145710687807044
0.07,0.14,0.3,1780,1.0163534982125098
0.07,0.14,0.3,1790,1.0184052827315564
0.07,0.14,0.3,1800,1.0206394040780404
0.07,0.14,0.3,1810,1.0229593610171455
0.07,0.14,0.3,1820,1.0252536424079044
0.07,0.14,0.3,1830,1.0273868321673667
0.07,0.14,0.3,1840,1.0292234300083576
0.07,0.14,0.3,1850,1.0306599942751735
0.07,0.14,0.3,1860,1.0316384363773066
0.07,0.14,0.3,1870,1.0321538370214203
0.07,0.14,0.3,1880,1.0322623864610891
0.07,0.14,0.3,1890,1.0320653903599484
0.07,0.14,0.3,1900,1.0316742798573366
0.07,0.14,0.3,1910,1.0311965651094515
0.07,0.14,0.3,1920,1.0307442147444348
0.07,0.14,0.3,1930,1.0304209231260022
0.07,0.14,0.3,1940,1.0302845363073523
0.07,0.14,0.3,1950,1.0303318033518374
0.07,0.14,0.3,1960,1.0305172985612834
0.07,0.14,0.3,1970,1.030767732721091
0.07,0.14,0.3,1980,1.0309842903841713
0.07,0.14,0.3,1990,1.0310669665005299
0.07,0.14,0.3,2000,1.0309554656750366
0.07,0.14,0.3,2010,1.0306401400509348
0.07,0.14,0.3,2020,1.030141491205235
0.07,0.14,0.3,2030,1.0295017633699823
0.07,0.14,0.3,2040,1.028790502141106
0.07,0.14,0.3,2050,1.0280872755329626
0.07,0.14,0.3,2060,1.0274495393139529
0.07,0.14,0.3,2070,1.0269084839845581
0.07,0.14,0.3,2080,1.026486341653991
0.07,0.14,0.3,2090,1.0261935667954023
0.07,0.14,0.3,2100,1.0260118067659032
0.07,0.14,0.3,2110,1.0259002565755106
0.07,0.14,0.3,2120,1.0258174859789981
0.07,0.14,0.3,2130,1.0257254853485847
0.07,0.14,0.3,2140,1.0255863052272258
0.07,0.14,0.3,2150,1.0253775945699581
0.07,0.14,0.3,2160,1.0251061034826607
0.07,0.14,0.3,2170,1.0247899125104403
0.07,0.14,0.3,2180,1.0244344883656369
0.07,0.14,0.3,2190,1.0240370992964247
0.07,0.14,0.3,2200,1.0235999106412512
0.07,0.14,0.3,2210,1.0231232290495123
0.07,0.14,0.3,2220,1.0225992823882646
0.07,0.14,0.3,2230,1.0220285786426861
0.07,0.14,0.3,2240,1.0214319548079625
0.07,0.14,0.3,2250,1.0208356103391205
0.07,0.14,0.3,2260,1.0202570889091764
0.07,0.14,0.3,2270,1.019714438836507
0.07,0.14,0.3,2280,1.0192317555579977
0.07,0.14,0.3,2290,1.018822887451113
0.07,0.14,0.3,2300,1.0184817566476223
0.07,0.14,0.3,2310,1.018195903541135
0.07,0.14,0.3,2320,1.0179551618438334
0.07,0.14,0.3,2330,1.0177418276686205
0.07,0.14,0.3,2340,1.0175299872469472
0.07,0.14,0.3,2350,1.017303117734782
0.07,0.14,0.3,2360,1.017059744142474
0.07,0.14,0.3,2370,1.016799024610545
0.07,0.14,0.3,2380,1.0165166008533655
0.07,0.14,0.3,2390,1.0162180077447596
0.07,0.14,0.3,2400,1.0159211523211555
0.07,0.14,0.3,2410,1.0156428081090734
0.07,0.14,0.3,2420,1.0153954075786094
