width,radius,dy,timepoint,diodicity
0.085,0.14,0.3,10,
0.085,0.14,0.3,20,
0.085,0.14,0.3,30,
0.085,0.14,0.3,40,4345385.0
0.085,0.14,0.3,50,57411.08896745435
0.085,0.14,0.3,60,747.3524574803309
0.085,0.14,0.3,70,6.6567771174270725
0.085,0.14,0.3,80,1.2812907657897399
0.085,0.14,0.3,90,1.0900084803026637
0.085,0.14,0.3,100,1.086104020518781
0.085,0.14,0.3,110,1.0569206339682846
0.085,0.14,0.3,120,1.0594469829987117
0.085,0.14,0.3,130,1.0531397471964175
0.085,0.14,0.3,140,1.0481463004524392
0.085,0.14,0.3,150,1.0482626401431199
0.085,0.14,0.3,160,1.044066201644036
0.085,0.14,0.3,170,1.044125909906012
0.085,0.14,0.3,180,1.0410485216623122
0.085,0.14,0.3,190,1.0324737745412822
0.085,0.14,0.3,200,1.0211117463540849
0.085,0.14,0.3,210,1.0190993800703252
0.085,0.14,0.3,220,1.026274523045694
0.085,0.14,0.3,230,1.0348728328829377
0.085,0.14,0.3,240,1.041235735963802
0.085,0.14,0.3,250,1.0339241616595918
0.085,0.14,0.3,260,1.0336867691830702
0.085,0.14,0.3,270,1.0357365736570512
0.085,0.14,0.3,280,1.0377407061619623
0.085,0.14,0.3,290,1.0471378750094043
0.085,0.14,0.3,300,1.0706360410668778
0.085,0.14,0.3,310,1.103085982215693
0.085,0.14,0.3,320,1.1403379817434425
0.085,0.14,0.3,330,1.1894539391803873
0.085,0.14,0.3,340,1.2356137678454022
0.085,0.14,0.3,350,1.263676854447632
0.085,0.14,0.3,360,1.266197581325908
0.085,0.14,0.3,370,1.258905634870169
0.085,0.14,0.3,380,1.2461556755647905
0.085,0.14,0.3,390,1.2339973033862701
0.085,0.14,0.3,400,1.1882537647665796
0.085,0.14,0.3,410,1.0979307741671482
0.085,0.14,0.3,420,0.9993792802811673
0.085,0.14,0.3,430,0.9390228390550444
0.085,0.14,0.3,440,0.9226355470160907
0.085,0.14,0.3,450,0.9247618678122402
0.085,0.14,0.3,460,0.9301651533598505
0.085,0.14,0.3,470,0.9354437335454735
0.085,0.14,0.3,480,0.945079215141856
0.085,0.14,0.3,490,0.957658061397567
0.085,0.14,0.3,500,0.9666171797434397
0.085,0.14,0.3,510,0.9635467290541121
0.085,0.14,0.3,520,0.9488574725473602
0.085,0.14,0.3,530,0.9261259928671595
0.085,0.14,0.3,540,0.8979757822849298
0.085,0.14,0.3,550,0.8614864476556119
0.085,0.14,0.3,560,0.8096277724660963
0.085,0.14,0.3,570,0.7524375530360878
0.085,0.14,0.3,580,0.7100028488726486
0.085,0.14,0.3,590,0.6931225510163148
0.085,0.14,0.3,600,0.7010337131400352
0.085,0.14,0.3,610,0.7275267880916159
0.085,0.14,0.3,620,0.7638901528459606
0.085,0.14,0.3,630,0.7989408311704163
0.085,0.14,0.3,640,0.8229483402378931
0.085,0.14,0.3,650,0.8304094111579166
0.085,0.14,0.3,660,0.8258209895882987
0.085,0.14,0.3,670,0.8194225004924056
0.085,0.14,0.3,680,0.8151619992939222
0.085,0.14,0.3,690,0.8126050454937815
0.085,0.14,0.3,700,0.8155357107498077
0.085,0.14,0.3,710,0.8298154666779508
0.085,0.14,0.3,720,0.8537584793087226
0.085,0.14,0.3,730,0.8821237563385472
0.085,0.14,0.3,740,0.9121033046704254
0.085,0.14,0.3,750,0.943597648305021
0.085,0.14,0.3,760,0.9734134383569178
0.085,0.14,0.3,770,0.9995253881255431
0.085,0.14,0.3,780,1.0256716171756939
0.085,0.14,0.3,790,1.0559054229393432
0.085,0.14,0.3,800,1.0885187707113175
0.085,0.14,0.3,810,1.1174385345891293
0.085,0.14,0.3,820,1.140709842087711
0.085,0.14,0.3,830,1.1592273290166635
0.085,0.14,0.3,840,1.1729493369273554
0.085,0.14,0.3,850,1.1792845375694063
0.085,0.14,0.3,860,1.1787000364532538
0.085,0.14,0.3,870,1.1760478054100543
0.085,0.14,0.3,880,1.1713970569738854
0.085,0.14,0.3,890,1.156589129389872
0.085,0.14,0.3,900,1.1255629924923871
0.085,0.14,0.3,910,1.0872676152745593
0.085,0.14,0.3,920,1.0578538676003615
0.085,0.14,0.3,930,1.0453975882223878
0.085,0.14,0.3,940,1.0449752464265498
0.085,0.14,0.3,950,1.0464667251849369
0.085,0.14,0.3,960,1.0448710436985615
0.085,0.14,0.3,970,1.0413357394760194
0.085,0.14,0.3,980,1.038675454456076
0.085,0.14,0.3,990,1.0387695564488273
0.085,0.14,0.3,1000,1.0430617078750655
0.085,0.14,0.3,1010,1.0518284797081445
0.085,0.14,0.3,1020,1.0626152075772344
0.085,0.14,0.3,1030,1.0705980576661156
0.085,0.14,0.3,1040,1.0714493111721382
0.085,0.14,0.3,1050,1.0646793322721293
0.085,0.14,0.3,1060,1.05387475722731
0.085,0.14,0.3,1070,1.043781994521756
0.085,0.14,0.3,1080,1.037010377403197
0.085,0.14,0.3,1090,1.0339271874469653
0.085,0.14,0.3,1100,1.0348419220972018
0.085,0.14,0.3,1110,1.0410944422573472
0.085,0.14,0.3,1120,1.053725678886984
0.085,0.14,0.3,1130,1.0717405299821514
0.085,0.14,0.3,1140,1.0923816535768351
0.085,0.14,0.3,1150,1.1124152058679986
0.085,0.14,0.3,1160,1.1287299807995639
0.085,0.14,0.3,1170,1.1383408648250946
0.085,0.14,0.3,1180,1.1392680374383994
0.085,0.14,0.3,1190,1.131577231267319
0.085,0.14,0.3,1200,1.1170644865902695
0.085,0.14,0.3,1210,1.0982196986994661
0.085,0.14,0.3,1220,1.0776443997852982
0.085,0.14,0.3,1230,1.057917313727346
0.085,0.14,0.3,1240,1.0412250952577033
0.085,0.14,0.3,1250,1.029040542321605
0.085,0.14,0.3,1260,1.0220141235204505
0.085,0.14,0.3,1270,1.0198806713798414
0.085,0.14,0.3,1280,1.0214489986012583
0.085,0.14,0.3,1290,1.0249135247686707
0.085,0.14,0.3,1300,1.0283720966169472
0.085,0.14,0.3,1310,1.0301523933500725
0.085,0.14,0.3,1320,1.0291106987437133
0.085,0.14,0.3,1330,1.02511626627115
0.085,0.14,0.3,1340,1.0192726014820799
0.085,0.14,0.3,1350,1.013302708788943
0.085,0.14,0.3,1360,1.0084395600135498
0.085,0.14,0.3,1370,1.0048143839562793
0.085,0.14,0.3,1380,1.0018235967876445
0.085,0.14,0.3,1390,0.9989978313802846
0.085,0.14,0.3,1400,0.9964526692150334
0.085,0.14,0.3,1410,0.9945787762431609
0.085,0.14,0.3,1420,0.9934271799978869
0.085,0.14,0.3,1430,0.9924580786276624
0.085,0.14,0.3,1440,0.9908922090375282
0.085,0.14,0.3,1450,0.9883041784347136
0.085,0.14,0.3,1460,0.9848860311471567
0.085,0.14,0.3,1470,0.9811740781008613
0.085,0.14,0.3,1480,0.9776515566441419
0.085,0.14,0.3,1490,0.9746004175890288
0.085,0.14,0.3,1500,0.972085598451555
0.085,0.14,0.3,1510,0.9698423210150801
0.085,0.14,0.3,1520,0.9672323964840825
0.085,0.14,0.3,1530,0.9636160742898245
0.085,0.14,0.3,1540,0.9589649707200875
0.085,0.14,0.3,1550,0.9540562935005067
0.085,0.14,0.3,1560,0.9499218979602166
0.085,0.14,0.3,1570,0.9471419760862017
0.085,0.14,0.3,1580,0.9457715226642514
0.085,0.14,0.3,1590,0.9458342317268048
0.085,0.14,0.3,1600,0.9476079178288102
0.085,0.14,0.3,1610,0.9512968447876827
0.085,0.14,0.3,1620,0.9565900885076369
0.085,0.14,0.3,1630,0.9627419317375646
0.085,0.14,0.3,1640,0.9690924826416923
0.085,0.14,0.3,1650,0.9753952231831693
0.085,0.14,0.3,1660,0.9816480397177176
0.085,0.14,0.3,1670,0.9877788220187926
0.085,0.14,0.3,1680,0.9935863642898849
0.085,0.14,0.3,1690,0.9988635980366115
0.085,0.14,0.3,1700,1.003422952792749
0.085,0.14,0.3,1710,1.0070676817338704
0.085,0.14,0.3,1720,1.009739300927596
0.085,0.14,0.3,1730,1.0117697702295243
